Chat,Degree,Source,Anxiety,Anger,Disappointment
"A very close friend recently broke up with me, and I don't know why.",1,Relationship,0,0,1
My friend is an idiot.,1,Relationship,0,0,1
It's so hard to do the coursework.,1,School,1,0,1
How to get this shit exam done?,1,School,1,1,0
"My grades are so bad, what do I have to do to not delay my graduation?",1,School,1,0,1
I don't know which high school to go to.,1,Shcool,1,0,0
I am almost mad.,1,Value of Life,1,1,1
"The epidemic is so bad, my life is meaningless.",1,Epidemic,,,
I can't help others no matter how much I learn.,1,Value of Life,,,
"Everyone is going to die, why should I live?",1,Value of Life,,,
"Communication between people is tiring, and there are always conflicts that cannot be reconciled",1,Relationship,,,
"Every day is the same day, when will it end?",1,Value of Life,,,
"I can't feel the love between people, I'm so disappointed, I hope people are more intimate.",1,Relationship,,,
"Is it really necessary to pursue a good grade, so tired.",1,School,,,
"Exams are so tiring, I don't want to study.",1,School,,,
I can't control my emotions.,1,Value of Life,,,
Why can someone say nothing and break up with me?,1,Relationship,,,
"Uninspired, I am trash.",1,Value of Life,,,
"I often forget my previous promises, I'm just rotten.",1,Value of Life,,,
"If you want to lose weight, it's hard to stick to it. I actually wanted to give up.",1,Value of Life,,,
"Don't come to me, you will become unfortunate.",1,Value of Life,,,
My large pores are my biggest source of inferiority.,1,Value of Life,,,
I dare not reject others.,1,Relationship,,,
Can't see the future.,1,Value of Life,,,
"How can there be such a nasty roommate, annoying me every day.",,Relationship,,,
The epidemic has made me unable to go home again!,,Epidemic,,,
Can nasty people stay away from me!,,Relationship,,,
I've gained weight recently and can't wear shorts anymore.,,Value of Life,,,
My friends are not happy and I can't help.,,Relationship,,,
"I always feel that I have spent too much money recently, which is a bit of a waste.",,Value of Life,,,
Poor sleep and inability to concentrate.,,Value of Life,,,
There are so many people with mental illnesses who promote body anxiety every day.,,Relationship,,,
I wish some people would die.,,Value of Life,,,
Why the guy I like doesn't like me.,,Relationship,,,
Math class is hard.,,Shcool,,,
I want to play well and learn well.,,School,,,
I want a girlfriend.,,Relationship,,,
I can't control the desire to spend money.,,Value of Life,,,
Why can I eat so much?,,Value of Life,,,
I always stay up late.,,Value of Life,,,
I procrastinate and can't finish my homework.,,School,,,
"I'd love to be in a relationship, but I'm graduating soon.",,Relationship,,,
Learning is becoming less and less motivated.,,School,,,
I am very confused about my future.,,Value of Life,,,
I am over stressed from schoolwork.,,School,,,
My grades are not good.,,Shcool,,,
"Procrastination is very serious, always set a lot of tomorrow's study tasks, but can not complete.",,School,,,
Not good enough to look good enough to dress up.,,Value of Life,,,
Boyfriend doesn't love me enough?,,Relationship,,,
"I can't communicate with my parents, they don't understand me at all.",,Relationship,,,
"I'm too heavy, but I always can't control myself.",,Value of Life,,,
I feel that I am not good enough to write a good composition.,,School,,,
Why do I always lose my temper?,,Value of Life,,,
I hope I can be liked by many people.,,Relationship,,,
I hope to have a lot of money.,,Value of Life,,,
I want more pocket money.,,Value of Life,,,
My classmates always bully me.,,Relationship,,,
I want a boyfriend.,,Relationship,,,
It's hard to learn.,,School,,,
"Snacks are expensive, but pocket money does not rise.",,Value of Life,,,
Epidemic repeated.,,Epidemic,,,
Bad weather.,,Value of Life,,,
"I'm about to graduate, but I don't know where to go.",,School,,,
The fucking epidemic!,,Epidemic,,,
Pocket money really isn't enough.,,Value of Life,,,
I can't see my girlfriend because of the epidemic.,,Epidemic,,,
My teacher has a bad temper.,,School,,,
I don't want to go to school.,,School,,,
I don't want to go to class.,,School,,,
I don't want to take the exam.,,School,,,
"I don't want to study, let me become rich!",,School,,,
My friends don't understand me and I'm so sad.,,Relationship,,,
"When will the epidemic end, I just want to go out.",,Epidemic,,,
"It's annoying, I feel like I can't go to a good high school.",,School,,,
I'm dying to get together with him!,,Relationship,,,
"I miss all those old memories, but I can't go back.",,Relationship,,,
"I can't finish my homework, it's so annoying!",,School,,,
I don't want to go to school tomorrow.,,School,,,
"The exam is coming soon, but I'm not ready yet.",,School,,,
Will the exam be difficult? No time to review.,,School,,,
